Operacao,Ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,99
101,98
102,97
103,96
104,95
105,94
106,93
107,92
108,91
109,90
110,89
111,88
112,87
113,86
114,85
115,84
116,83
117,82
118,81
119,80
120,81
121,80
122,81
123,82
124,83
125,84
126,83
127,84
128,83
129,84
130,85
131,86
132,87
133,88
134,89
135,90
136,91
137,92
138,93
139,94
140,95
141,96
142,97
143,98
144,99
145,98
146,99
147,100
148,99
149,100
150,99
151,98
152,97
153,96
154,95
155,94
156,95
157,94
158,95
159,94
160,95
161,96
162,97
163,98
164,99
165,100
166,99
167,98
168,97
169,96
170,95
171,96
172,97
173,98
174,99
175,100
176,99
177,98
178,97
179,96
180,95
181,94
182,93
183,92
184,93
185,94
186,95
187,96
188,97
189,98
190,97
191,96
192,97
193,98
194,99
195,100
196,99
197,98
198,97
199,96
200,95
201,94
202,93
203,94
204,95
205,96
206,97
207,96
208,97
209,98
210,97
211,98
212,97
213,98
214,97
215,98
216,97
217,98
218,99
219,98
220,97
221,96
222,95
223,94
224,93
225,92
226,93
227,94
228,95
229,96
230,97
231,98
232,99
233,100
234,99
235,100
236,99
237,100
238,99
239,100
240,99
241,98
242,97
243,96
244,95
245,94
246,93
247,94
248,95
249,96
250,97
251,98
252,99
253,100
254,99
255,100
256,99
257,100
258,99
259,98
260,97
261,96
262,95
263,94
264,93
265,92
266,91
267,92
268,93
269,94
270,95
271,96
272,97
273,98
274,99
275,100
276,99
277,98
278,97
279,96
280,95
281,94
282,93
283,92
284,91
285,90
286,89
287,88
288,89
289,88
290,89
291,90
292,91
293,92
294,93
295,94
296,95
297,96
298,97
299,98
300,99
301,100
302,99
303,98
304,99
305,100
306,99
307,98
308,97
309,96
310,95
311,94
312,93
313,92
314,91
315,92
316,93
317,94
318,95
319,96
320,97
321,98
322,99
323,100
324,99
325,100
326,99
327,100
328,99
329,98
330,97
331,96
332,95
333,94
334,93
335,92
336,91
337,90
338,91
339,92
340,93
341,94
342,95
343,96
344,97
345,98
346,99
347,100
348,99
349,100
350,99
351,100
352,99
353,98
354,97
355,96
356,95
357,94
358,93
359,92
360,91
361,90
362,89
363,88
364,87
365,88
366,89
367,90
368,91
369,92
370,93
371,94
372,95
373,96
374,97
375,96
376,97
377,98
378,99
379,100
380,99
381,98
382,97
383,96
384,95
385,94
386,93
387,92
388,91
389,90
390,89
391,88
392,89
393,90
394,91
395,92
396,93
397,94
398,95
399,96
400,97
401,98
402,99
403,98
404,99
405,98
406,97
407,98
408,99
409,100
410,99
411,98
412,97
413,96
414,95
415,94
416,93
417,92
418,91
419,90
420,89
421,88
422,89
423,90
424,91
425,92
426,93
427,94
428,95
429,96
430,97
431,96
432,97
433,98
434,99
435,100
436,99
437,98
438,97
439,96
440,95
441,94
442,93
443,92
444,91
445,90
446,89
447,88
448,89
449,88
450,89
451,88
452,87
453,86
454,85
455,84
456,85
457,84
458,83
459,82
460,83
461,82
462,81
463,80
464,79
465,78
466,77
467,76
468,77
469,76
470,77
471,78
472,77
473,78
474,77
475,78
476,77
477,76
478,75
479,74
480,73
481,72
482,73
483,72
484,73
485,74
486,75
487,76
488,77
489,76
490,77
491,76
492,75
493,74
494,75
495,76
496,77
497,78
498,79
499,78
500,79
501,78
502,77
503,76
504,75
505,76
506,77
507,78
508,79
509,80
510,81
511,82
512,83
513,84
514,85
515,86
516,87
517,88
518,89
519,90
520,91
521,92
522,93
523,94
524,95
525,96
526,97
527,98
528,99
529,100
530,99
531,98
532,97
533,96
534,95
535,94
536,93
537,92
538,91
539,90
540,89
541,88
542,87
543,86
544,85
545,84
546,83
547,82
548,81
549,80
550,79
551,78
552,77
553,76
554,75
555,76
556,75
557,74
558,73
559,72
560,71
561,70
562,69
563,70
564,71
565,72
566,73
567,74
568,75
569,76
570,77
571,78
572,79
573,80
574,81
575,82
576,83
577,84
578,85
579,86
580,87
581,88
582,89
583,90
584,91
585,92
586,93
587,94
588,95
589,96
590,97
591,98
592,99
593,100
594,99
595,98
596,97
597,96
598,95
599,94
600,93
601,92
602,91
603,90
604,89
605,88
606,87
607,86
608,85
609,84
610,83
611,82
612,83
613,82
614,83
615,82
616,81
617,80
618,79
619,78
620,77
621,76
622,75
623,74
624,75
625,74
626,73
627,72
628,71
629,70
630,69
631,70
632,69
633,70
634,69
635,70
636,69
637,68
638,69
639,70
640,71
641,72
642,71
643,70
644,71
645,70
646,71
647,72
648,73
649,74
650,73
651,74
652,75
653,74
654,73
655,74
656,73
657,74
658,75
659,76
660,77
661,78
662,79
663,78
664,77
665,78
666,79
667,80
668,79
669,80
670,81
671,82
672,83
673,84
674,85
675,86
676,85
677,86
678,87
679,86
680,87
681,88
682,89
683,90
684,91
685,92
686,93
687,94
688,95
689,96
690,97
691,98
692,99
693,100
694,99
695,98
696,97
697,96
698,95
699,94
700,93
701,92
702,91
703,92
704,93
705,94
706,95
707,96
708,95
709,96
710,95
711,94
712,93
713,92
714,91
715,90
716,89
717,88
718,89
719,88
720,87
721,86
722,85
723,84
724,83
725,82
726,81
727,82
728,83
729,84
730,85
731,86
732,85
733,84
734,85
735,86
736,87
737,88
738,89
739,90
740,91
741,92
742,93
743,94
744,95
745,96
746,97
747,98
748,99
749,100
750,99
751,98
752,97
753,96
754,95
755,94
756,93
757,92
758,91
759,90
760,89
761,88
762,87
763,86
764,85
765,86
766,87
767,88
768,89
769,90
770,91
771,92
772,93
773,94
774,95
775,96
776,97
777,98
778,99
779,100
780,99
781,98
782,97
783,96
784,95
785,94
786,93
787,92
788,91
789,90
790,89
791,88
792,87
793,86
794,85
795,84
796,83
797,82
798,81
799,80
800,79
801,80
802,81
803,82
804,81
805,82
806,81
807,82
808,81
809,80
810,79
811,78
812,79
813,80
814,81
815,82
816,83
817,84
818,85
819,86
820,87
821,88
822,87
823,88
824,87
825,86
826,85
827,84
828,83
829,84
830,83
831,82
832,81
833,80
834,79
835,80
836,81
837,82
838,83
839,84
840,85
841,86
842,87
843,88
844,87
845,88
846,87
847,88
848,89
849,90
850,91
851,92
852,93
853,94
854,95
855,96
856,97
857,98
858,99
859,100
860,99
861,98
862,97
863,96
864,95
865,94
866,93
867,92
868,91
869,90
870,89
871,90
872,91
873,92
874,93
875,94
876,95
877,96
878,97
879,98
880,99
881,100
882,99
883,98
884,97
885,96
886,95
887,94
888,93
889,92
890,91
891,90
892,89
893,88
894,87
895,86
896,87
897,88
898,89
899,90
900,91
901,92
902,93
903,92
904,93
905,94
906,95
907,96
908,97
909,98
910,99
911,100
912,99
913,98
914,97
915,96
916,95
917,94
918,93
919,92
920,93
921,94
922,95
923,96
924,97
925,96
926,97
927,96
928,95
929,94
930,93
931,92
932,91
933,90
934,89
935,88
936,87
937,88
938,89
939,90
940,91
941,92
942,93
943,94
944,95
945,96
946,97
947,98
948,99
949,100
950,99
951,100
952,99
953,98
954,97
955,96
956,95
957,94
958,93
959,92
960,91
961,92
