Operacao,Ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,99
101,98
102,97
103,96
104,95
105,94
106,93
107,92
108,91
109,90
110,89
111,88
112,87
113,86
114,85
115,84
116,83
117,82
118,81
119,80
120,81
121,82
122,83
123,84
124,85
125,86
126,87
127,88
128,89
129,90
130,91
131,92
132,93
133,94
134,95
135,96
136,97
137,98
138,99
139,100
140,99
141,98
142,97
143,98
144,99
145,100
146,99
147,98
148,97
149,96
150,95
151,94
152,93
153,92
154,91
155,90
156,89
157,88
158,87
159,86
160,85
161,84
162,83
163,82
164,81
165,80
166,79
167,78
168,77
169,76
170,75
171,74
172,73
173,72
174,71
175,70
176,69
177,68
178,67
179,66
180,65
181,64
182,63
183,62
184,61
185,60
186,59
187,58
188,57
189,56
190,55
191,54
192,53
193,52
194,51
195,50
196,49
197,48
198,47
199,46
200,45
201,44
202,43
203,42
204,41
205,40
206,39
207,38
208,37
209,36
210,35
211,34
212,33
213,32
214,31
215,30
216,29
217,28
218,27
219,26
220,25
221,24
222,23
223,22
224,21
225,20
226,19
227,18
228,17
229,16
230,15
231,14
232,13
233,12
234,11
235,10
236,9
237,8
238,7
239,6
240,5
241,4
242,3
243,2
244,1
245,0
246,1
247,2
248,1
249,0
250,1
251,2
252,3
253,4
254,5
255,6
256,7
257,8
258,9
259,10
260,11
261,12
262,13
263,14
264,15
265,16
266,17
267,16
268,17
269,16
270,17
271,18
272,17
273,18
274,17
275,16
276,15
277,14
278,13
279,12
280,13
281,12
282,11
283,10
284,9
285,8
286,7
287,8
288,7
289,6
290,7
291,8
292,7
293,6
294,7
295,8
296,9
297,10
298,11
299,10
300,11
301,12
302,13
303,14
304,15
305,16
306,17
307,18
308,19
309,20
310,21
311,20
312,19
313,18
314,17
315,16
316,15
317,14
318,15
319,16
320,17
321,18
322,19
323,20
324,21
325,22
326,21
327,22
328,21
329,20
330,19
331,18
332,17
333,16
334,15
335,14
336,13
337,12
338,11
339,10
340,11
341,10
342,11
343,12
344,13
345,12
346,13
347,12
348,11
349,10
350,9
351,8
352,7
353,6
354,7
355,6
356,5
357,4
358,5
359,6
360,7
361,6
362,7
363,8
364,9
365,10
366,11
367,12
368,11
369,12
370,11
371,10
372,9
373,8
374,7
375,6
376,5
377,4
378,3
379,2
380,1
381,0
382,1
383,2
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,2
394,1
395,0
396,1
397,2
398,3
399,2
400,1
401,0
402,1
403,0
404,1
405,2
406,1
407,0
408,1
409,2
410,3
411,4
412,5
413,4
414,3
415,4
416,3
417,4
418,5
419,4
420,5
421,4
422,3
423,4
424,5
425,6
426,5
427,4
428,3
429,2
430,3
431,4
432,5
433,6
434,5
435,6
436,5
437,4
438,5
439,4
440,3
441,2
442,1
443,0
444,1
445,0
446,1
447,2
448,3
449,4
450,5
451,6
452,7
453,8
454,9
455,8
456,9
457,8
458,7
459,6
460,5
461,4
462,3
463,2
464,3
465,2
466,1
467,0
468,1
469,2
470,1
471,2
472,3
473,4
474,5
475,6
476,7
477,8
478,9
479,10
480,9
481,8
482,9
483,8
484,7
485,6
486,5
487,4
488,3
489,2
490,3
491,4
492,5
493,6
494,7
495,8
496,9
497,10
498,11
499,12
500,13
501,14
502,15
503,16
504,17
505,18
506,19
507,20
508,21
509,22
510,23
511,24
512,25
513,26
514,27
515,28
516,29
517,30
518,31
519,32
520,33
521,34
522,35
523,36
524,37
525,38
526,37
527,38
528,37
529,36
530,35
531,34
532,35
533,34
534,33
535,34
536,33
537,32
538,31
539,32
540,31
541,32
542,33
543,34
544,35
545,34
546,35
547,34
548,33
549,32
550,31
551,30
552,31
553,30
554,29
555,30
556,29
557,28
558,27
559,26
560,25
561,26
562,25
563,26
564,25
565,26
566,25
567,26
568,27
569,28
570,29
571,30
572,31
573,32
574,33
575,34
576,35
577,36
578,37
579,38
580,39
581,40
582,41
583,42
584,43
585,44
586,45
587,46
588,47
589,48
590,49
591,50
592,51
593,52
594,53
595,54
596,55
597,56
598,57
599,58
600,59
601,60
602,61
603,62
604,63
605,64
606,65
607,66
608,67
609,68
610,69
611,70
612,71
613,72
614,73
615,74
616,75
617,76
618,77
619,78
620,79
621,80
622,81
623,82
624,83
625,84
626,85
627,86
628,87
629,88
630,89
631,90
632,91
633,92
634,93
635,94
636,95
637,96
638,97
639,98
640,99
641,98
642,97
643,96
644,95
645,94
646,93
647,92
648,91
649,90
650,89
651,88
652,87
653,86
654,85
655,84
656,83
657,82
658,81
659,80
660,79
661,78
662,77
663,76
664,75
665,74
666,73
667,72
668,71
669,70
670,69
671,68
672,67
673,68
674,67
675,68
676,67
677,66
678,67
679,66
680,67
681,66
682,65
683,64
684,65
685,66
686,67
687,68
688,69
689,70
690,71
691,72
692,73
693,74
694,75
695,76
696,77
697,76
698,77
699,76
700,77
701,76
702,77
703,78
704,79
705,80
706,81
707,82
708,83
709,84
710,83
711,84
712,83
713,84
714,83
715,84
716,85
717,84
718,83
719,82
720,81
721,80
722,79
723,78
724,77
725,76
726,75
727,74
728,73
729,72
730,71
731,70
732,69
733,68
734,67
735,66
736,65
737,64
738,63
739,62
740,61
741,60
742,59
743,58
744,57
745,56
746,55
747,54
748,53
749,52
750,51
751,50
752,49
753,48
754,47
755,46
756,45
757,44
758,43
759,42
760,41
761,40
762,41
763,42
764,43
765,44
766,45
767,46
768,45
769,46
770,47
771,48
772,49
773,50
774,51
775,52
776,51
777,50
778,51
779,52
780,53
781,52
782,51
783,52
784,51
785,52
786,51
787,52
788,51
789,52
790,51
791,52
792,51
793,52
794,51
795,50
796,49
797,48
798,49
799,48
800,49
801,50
802,51
803,52
804,53
805,54
806,53
807,54
808,55
809,56
810,57
811,56
812,55
813,54
814,53
815,52
816,51
817,50
818,49
819,48
820,47
821,46
822,47
823,46
824,45
825,44
826,43
827,42
828,41
829,40
830,39
831,40
832,39
833,38
834,39
835,40
836,41
837,42
838,43
839,44
840,45
841,46
842,47
843,48
844,47
845,48
846,49
847,50
848,51
849,50
850,51
851,52
852,53
853,54
854,55
855,54
856,53
857,52
858,53
859,52
860,53
861,54
862,55
863,56
864,57
865,58
866,59
867,60
868,61
869,60
870,59
871,58
872,57
873,56
874,57
875,56
876,55
877,54
878,53
879,54
880,55
881,56
882,57
883,58
884,59
885,58
886,59
887,60
888,61
889,62
890,63
891,64
892,65
893,64
894,63
895,62
896,61
897,60
898,61
899,60
900,59
901,60
902,61
903,62
904,63
905,62
906,61
907,60
908,59
909,60
910,61
911,62
912,63
913,62
914,63
915,62
916,63
917,62
918,61
919,60
920,59
921,60
922,61
923,62
924,63
925,62
926,61
927,60
928,61
929,62
930,61
931,60
932,59
933,58
934,57
935,58
936,57
937,56
938,55
939,54
940,55
941,56
942,57
943,58
944,59
945,60
946,61
947,62
948,61
949,60
950,61
951,60
952,59
953,58
954,59
955,58
956,57
957,56
958,57
959,56
960,57
961,56
